number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
52,0.5878826506289193,2026-01-07 21:49:11.666486,2026-01-07 21:54:18.176122,0 days 00:05:06.509636,focal_only,16,0.5530076454102543,64,2,48,4,96,3,0.20874850845776818,exponential,2.765778130187177,1.1317087434844892,0.0005698584652030634,onecycle,False,0.49697498778887506,96,2,27,6.19108809379961e-06,COMPLETE
53,0.6034880633686603,2026-01-07 21:54:18.177671,2026-01-07 21:59:26.361482,0 days 00:05:08.183811,focal_only,16,0.5841400292163412,64,2,48,4,96,3,0.33284130402439366,exponential,2.5146791891502334,1.1647831701147107,0.0005682694623461856,onecycle,False,0.4203671336015862,96,2,27,7.808873140230367e-06,COMPLETE
54,0.5444603029080641,2026-01-07 21:59:26.362262,2026-01-07 22:04:17.021252,0 days 00:04:50.658990,focal_only,16,0.5977437290387457,64,2,64,4,96,3,0.3354148464834363,exponential,2.518102120715512,1.0294368012692043,0.000508609778321168,onecycle,False,0.42188201873660625,96,1,29,3.3047278277611994e-06,COMPLETE
55,0.19130411822949134,2026-01-07 22:04:17.024574,2026-01-07 22:06:52.293510,0 days 00:02:35.268936,focal_only,16,0.5551674101802843,64,2,32,4,96,1,0.3775477368704492,exponential,2.979380759032507,2.438359896462344,0.00036322208581205284,onecycle,False,0.4006273999346912,96,3,27,8.043037389640784e-06,PRUNED
56,0.48924434339359707,2026-01-07 22:06:52.294134,2026-01-07 22:11:00.116001,0 days 00:04:07.821867,focal_only,16,0.5460843801710553,96,2,48,4,96,3,0.050258312795952664,exponential,2.762767478804013,1.2646536078930353,0.0004317642984193947,warmup_cosine,False,0.43920605304455596,256,2,30,6.134336151898902e-06,PRUNED
57,0.5116238952656863,2026-01-07 22:11:00.116666,2026-01-07 22:13:15.679035,0 days 00:02:15.562369,focal_only,16,0.5803916181628289,32,2,48,1,96,3,0.163221038294696,constant,1.5154941663876003,1.8630022242258906,0.0005808870042064244,step,False,0.482340694944253,96,2,27,2.076342744394979e-06,COMPLETE
58,0.5264116762624225,2026-01-07 22:13:15.679702,2026-01-07 22:17:43.516103,0 days 00:04:27.836401,focal_only,16,0.5784095486785239,64,3,32,3,64,3,0.3386885471413352,linear,3.1477362880795487,1.4901145712092605,0.0009695257078743667,onecycle,False,0.3206630168955072,96,3,28,1.328496613760114e-06,COMPLETE
59,0.489423447871209,2026-01-07 22:17:43.516834,2026-01-07 22:19:58.591045,0 days 00:02:15.074211,class_weights,16,0.5233282750570272,96,2,96,3,96,3,0.36907858185473374,exponential,2.414429304666371,1.269685882726284,0.0007604600338817896,cosine,False,0.25069003266728573,128,1,29,7.997791114903374e-06,PRUNED
60,0.15116080531005904,2026-01-07 22:19:58.591663,2026-01-07 22:21:30.942147,0 days 00:01:32.350484,focal_only,32,0.5629209297195132,64,3,48,1,96,3,0.2850230794625884,exponential,2.648907995741959,1.6493845074532314,0.00033362020375269134,step,False,0.4990247542828526,256,2,26,0.0009396799312529506,PRUNED
61,0.5688788001026807,2026-01-07 22:21:30.942784,2026-01-07 22:27:05.007519,0 days 00:05:34.064735,weighted_sampling,16,0.37058154412011485,64,2,48,4,96,3,0.19648068697263346,exponential,2.3332687919076185,1.128963713754452,0.0006649154607558758,onecycle,True,0.45679073933655373,96,2,23,1.2643596254420016e-05,COMPLETE
62,0.5839514466977153,2026-01-07 22:27:05.008355,2026-01-07 22:32:21.763665,0 days 00:05:16.755310,focal_only,16,0.4043436325674104,64,2,48,4,96,3,0.2448026753487712,exponential,2.2533484463028124,1.0868977757499931,0.0004934838674829681,onecycle,True,0.4621116398755438,96,2,30,5.976511936023329e-06,COMPLETE
63,0.5870468297333968,2026-01-07 22:32:21.764472,2026-01-07 22:37:42.914338,0 days 00:05:21.149866,focal_only,16,0.40976330554373874,64,2,48,4,96,3,0.23956386373056915,exponential,2.5777893986762495,1.0799269026487412,0.00039101143542988846,onecycle,True,0.4820630769464629,96,2,32,5.693099134678017e-06,COMPLETE
