number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
43,-0.5299145299145299,2026-01-07 13:24:27.320421,2026-01-07 13:24:55.801732,0 days 00:00:28.481311,focal_only,64,0.5431546125828263,96,3,64,1,32,2,0.10524950313190307,constant,2.3921839231057405,4.3548140105928805,0.0003723244598241856,cosine,False,0.31609890412876024,256,3,True,False,11,4.2547648297590115e-06,COMPLETE
44,-0.5555555555555556,2026-01-07 13:24:55.802455,2026-01-07 13:25:06.992856,0 days 00:00:11.190401,focal_only,64,0.5057144022477852,96,3,64,2,32,2,0.054364401297765874,constant,2.5247679474253983,5.242296387868076,0.0008195281078806281,cosine,False,0.2686876937115057,128,3,True,False,7,9.233648538501739e-06,COMPLETE
45,-0.5470085470085471,2026-01-07 13:25:06.993606,2026-01-07 13:26:33.151893,0 days 00:01:26.158287,focal_only,32,0.599798439609093,96,3,48,1,96,2,0.18456983303732338,constant,2.218089291043959,5.708158331462826,0.0010325857281917137,warmup_cosine,True,0.3501085604090193,256,3,True,False,8,1.3905588643624767e-06,COMPLETE
46,-0.4871794871794872,2026-01-07 13:26:33.156535,2026-01-07 13:26:42.402361,0 days 00:00:09.245826,weighted_sampling,64,0.5750833895539222,128,3,64,1,32,2,0.09261739605085217,exponential,2.5914636448984694,5.659345593218945,0.00012200779674142492,cosine,False,0.2208663665754698,96,2,True,False,8,0.0009602639665935166,COMPLETE
47,-0.5555555555555556,2026-01-07 13:26:42.403261,2026-01-07 13:27:19.465580,0 days 00:00:37.062319,class_weights,32,0.4763699449433079,32,3,48,4,96,2,0.28947701059827746,exponential,2.7837810217868677,4.8207596000756725,0.00019789268384506437,warmup_cosine,False,0.1694820023206785,256,2,True,False,10,3.1116490154998223e-06,COMPLETE
48,-0.5811965811965811,2026-01-07 13:27:19.466366,2026-01-07 13:27:44.408580,0 days 00:00:24.942214,weighted_sampling,32,0.5256791690660734,64,2,96,2,96,2,0.07034997302198215,constant,3.060723317477933,6.799585663075884,0.0015089023954613797,onecycle,True,0.2467609992715871,64,3,True,True,9,1.9858917853273025e-06,COMPLETE
49,-0.5384615384615384,2026-01-07 13:27:44.409414,2026-01-07 13:28:15.478897,0 days 00:00:31.069483,focal_only,64,0.44971278753444194,96,3,64,2,32,2,0.11995568050839955,exponential,2.055937312009566,4.986037590688656,0.00033046756147662185,warmup_cosine,False,0.3083608590362605,256,2,True,False,9,4.85069839115576e-06,COMPLETE
50,-0.905982905982906,2026-01-07 13:28:15.479648,2026-01-07 13:28:26.511178,0 days 00:00:11.031530,weighted_sampling,32,0.5414770239317186,128,3,48,1,96,2,0.2614475112850725,constant,2.4181577749147642,6.331169097925722,0.0006817955136123478,cosine,False,0.26419324331425276,192,1,False,False,10,1.3047271672895505e-05,PRUNED
51,-0.4871794871794872,2026-01-07 13:28:26.511842,2026-01-07 13:28:35.905731,0 days 00:00:09.393889,weighted_sampling,64,0.5733019496983104,128,3,64,1,32,2,0.09334069476393372,exponential,2.615107253457372,5.645782811833531,7.772943861989724e-05,cosine,False,0.21524750064713816,96,2,True,False,8,0.0002624144863107893,COMPLETE
52,-0.4871794871794872,2026-01-07 13:28:35.907684,2026-01-07 13:28:44.445688,0 days 00:00:08.538004,weighted_sampling,64,0.5782318871594454,128,3,64,1,32,2,0.14625552133853942,exponential,2.6513579056802876,5.2748843105041505,0.00012345967851686232,cosine,False,0.22431534779397938,96,2,True,False,8,0.0007380571146495685,COMPLETE
